地区,公共汽电车运营数,运营线路总长度,公共汽电车客运总量,轨道交通运营数,轨道交通运营里程,轨道交通客运总量
全国,589961,1042348,3951265,49424,7355,1759044
北京,23948,28418,182567,6779,727,229275
天津,12399,27143,61391,1244,239,33865
河北,22571,43252,79787,408,59,7169
山西,10935,20255,86284,96,24,89
内蒙古,8852,20266,54104,312,49,2128
辽宁,22597,31195,226098,1348,295,44585
吉林,11429,20508,100189,839,118,16436
黑龙江,16954,29406,108158,186,30,5123
上海,17667,24945,133808,7071,729,283469
江苏,46683,83541,265665,3899,792,124714
浙江,38067,107849,188947,2880,508,74821
安徽,18927,27725,95241,732,113,19507
福建,17558,30924,127999,870,130,20871
江西,11211,25969,66538,438,60,13510
山东,54896,127200,227077,1191,303,14843
河南,28374,30085,150007,918,181,34101
湖北,21919,27088,152054,2578,384,62059
湖南,24896,28682,165608,891,158,38576
广东,65964,117919,394155,6593,1029,407694
广西,10273,17897,54367,696,105,20841
海南,4031,9212,17585,11,8,22
重庆,13754,27219,171287,2062,343,83975
四川,28441,42064,254406,4478,558,121962
贵州,7827,14085,117593,204,35,3698
云南,12144,25619,88896,732,139,15990
西藏,706,2716,7588,,,
陕西,14917,16090,139179,1650,186,72561
甘肃,7307,13590,101584,156,26,5248
青海,2497,3311,29149,,,
宁夏,2947,6533,22226,,,
新疆,9270,11642,81731,162,27,1912
